pet_name,pet_photosLink,pet_gender,pet_description,pet_lastUpdated,pet_type,pet_ID,shelter_ID,pet_breed1,pet_breed2,pet_detail,pet_detail/$t
Anibelle,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/38856095/1/?bust=1516454067&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/38856095/1/?bust=1516454067&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/38856095/1/?bust=1516454067&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/38856095/1/?bust=1516454067&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/38856095/1/?bust=1516454067&width=50&-t.jpg', '@id': '1'}]}",F,"Beautiful, independent, outdoor adult cat.  Owner had a stroke and can no longer care for his cats. We are trying to assist in finding Annabelle and three other cats a home.  Has been spayed and is current on shots.  She is a little shy at first but once she gets to know you she is loving and curious.   Please call us for further details.",2017-07-24T10:24:20+00:00,Cat,38856095,NV48,Tabby,,housetrained,
Oliver!,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42626510/1/?bust=1535771195&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42626510/1/?bust=1535771195&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42626510/1/?bust=1535771195&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42626510/1/?bust=1535771195&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42626510/1/?bust=1535771195&width=50&-t.jpg', '@id': '1'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42626510/2/?bust=1535771205&width=60&-pnt.jpg', '@id': '2'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42626510/2/?bust=1535771205&width=95&-fpm.jpg', '@id': '2'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42626510/2/?bust=1535771205&width=500&-x.jpg', '@id': '2'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42626510/2/?bust=1535771205&width=300&-pn.jpg', '@id': '2'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42626510/2/?bust=1535771205&width=50&-t.jpg', '@id': '2'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42626510/3/?bust=1536114084&width=60&-pnt.jpg', '@id': '3'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42626510/3/?bust=1536114084&width=95&-fpm.jpg', '@id': '3'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42626510/3/?bust=1536114084&width=500&-x.jpg', '@id': '3'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42626510/3/?bust=1536114084&width=300&-pn.jpg', '@id': '3'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42626510/3/?bust=1536114084&width=50&-t.jpg', '@id': '3'}]}",M,"Oliver is a sweet 2 year old male St. Bernard who needs a new, loving forever home.  Unfortunately, his family had some troubles and have to go back to Ohio and cannot keep him.

Oliver has lived with children (ages 6 and 8).  He is a loving, sweet boy who loves belly rubs! He knows basic commands and is pretty good on a leash. 

Neutered, shots, microchip - $200 Adoption fee",2018-09-01T03:12:01+00:00,Dog,42626510,NV32,Saint Bernard / St. Bernard,,noCats,
Charlie,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42694085/1/?bust=1536377586&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42694085/1/?bust=1536377586&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42694085/1/?bust=1536377586&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42694085/1/?bust=1536377586&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42694085/1/?bust=1536377586&width=50&-t.jpg', '@id': '1'}]}",F,"Charlie is an adorable two year old female St. Bernard whose family has to move and cannot take her with them  She is a good girl who has lived with other dogs, 

If you are interested in adopting Charlie, please submit an online application at www.sincitysaintrescue.org

Spayed, shots, microchip $200 adoption fee.",2018-09-08T03:40:16+00:00,Dog,42694085,NV32,Saint Bernard / St. Bernard,,housetrained,
Valentina,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/41092574/1/?bust=1520091953&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/41092574/1/?bust=1520091953&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/41092574/1/?bust=1520091953&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/41092574/1/?bust=1520091953&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/41092574/1/?bust=1520091953&width=50&-t.jpg', '@id': '1'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/41092574/2/?bust=1528926643&width=60&-pnt.jpg', '@id': '2'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/41092574/2/?bust=1528926643&width=95&-fpm.jpg', '@id': '2'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/41092574/2/?bust=1528926643&width=500&-x.jpg', '@id': '2'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/41092574/2/?bust=1528926643&width=300&-pn.jpg', '@id': '2'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/41092574/2/?bust=1528926643&width=50&-t.jpg', '@id': '2'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/41092574/3/?bust=1528926644&width=60&-pnt.jpg', '@id': '3'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/41092574/3/?bust=1528926644&width=95&-fpm.jpg', '@id': '3'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/41092574/3/?bust=1528926644&width=500&-x.jpg', '@id': '3'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/41092574/3/?bust=1528926644&width=300&-pn.jpg', '@id': '3'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/41092574/3/?bust=1528926644&width=50&-t.jpg', '@id': '3'}]}",F,"Valentina came to us on December 20th with a tummy full of puppies - so full she gave birth that same day! She is a friendly girl, approximately 3 years old and 40 lbs. She knows some basic commands - and has a sassy personality as you can see from her sticking out the tongue photo! If you are interested in adopting please submit an application at www.waggingtailsrescue.org.",2018-03-03T15:46:37+00:00,Dog,41092574,NV184,American Staffordshire Terrier,,hasShots,
Shasta,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42169135/1/?bust=1531492742&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42169135/1/?bust=1531492742&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42169135/1/?bust=1531492742&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42169135/1/?bust=1531492742&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42169135/1/?bust=1531492742&width=50&-t.jpg', '@id': '1'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42169135/2/?bust=1531492749&width=60&-pnt.jpg', '@id': '2'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42169135/2/?bust=1531492749&width=95&-fpm.jpg', '@id': '2'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42169135/2/?bust=1531492749&width=500&-x.jpg', '@id': '2'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42169135/2/?bust=1531492749&width=300&-pn.jpg', '@id': '2'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42169135/2/?bust=1531492749&width=50&-t.jpg', '@id': '2'}]}",F,"Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org.  Shasta came to us a couple of months ago, one of 160 dogs taken out of a hoarding situation. This sweet girl is very shy but we proud of her progress! She loves to go for walks and plays well with other dogs. She is not at all aggressive but is hesitant to let people touch her so she will need a home where they are comfortable letting her come to them at her own pace. Shasta is approximately 2 years old and 12 lbs.",2018-07-13T14:39:37+00:00,Dog,42169135,NV184,Mixed Breed,,hasShots,
Mesa,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42565108/1/?bust=1535127386&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42565108/1/?bust=1535127386&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42565108/1/?bust=1535127386&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42565108/1/?bust=1535127386&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42565108/1/?bust=1535127386&width=50&-t.jpg', '@id': '1'}]}",F,"Mesa is a 1 year old girl who weighs in at a whopping 4 1/2 lbs! This sweet girl loves people and does well with other dogs. She was born with a head tilt but it doesn’t stop her from living a life full of playtime and love. Mesa is spayed, microchipped and current on vaccines, her adoption fee is $250.

If you are interested in adopting please submit an application at www.waggingtailsrescue.org.",2018-08-24T16:16:55+00:00,Dog,42565108,NV184,Miniature Pinscher,,hasShots,
Jesse,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42623498/1/?bust=1535695920&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42623498/1/?bust=1535695920&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42623498/1/?bust=1535695920&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42623498/1/?bust=1535695920&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42623498/1/?bust=1535695920&width=50&-t.jpg', '@id': '1'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42623498/2/?bust=1535695923&width=60&-pnt.jpg', '@id': '2'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42623498/2/?bust=1535695923&width=95&-fpm.jpg', '@id': '2'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42623498/2/?bust=1535695923&width=500&-x.jpg', '@id': '2'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42623498/2/?bust=1535695923&width=300&-pn.jpg', '@id': '2'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42623498/2/?bust=1535695923&width=50&-t.jpg', '@id': '2'}]}",M,"Jesse is a 1 year old cutie who would love a family to call his own. He is a shy boy at first meeting but warms up quickly and loves attention. He does well with other dogs too! Jesse weighs 10 lbs. He is neutered, microchipped and current on vaccines, his adoption fee is $250. 

If you are interested in adopting please submit an application at www.waggingtailsrescue.org.",2018-08-31T06:13:22+00:00,Dog,42623498,NV184,Chihuahua,,hasShots,
Jackson,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42690797/1/?bust=1536291215&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42690797/1/?bust=1536291215&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42690797/1/?bust=1536291215&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42690797/1/?bust=1536291215&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42690797/1/?bust=1536291215&width=50&-t.jpg', '@id': '1'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42690797/2/?bust=1536291232&width=60&-pnt.jpg', '@id': '2'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42690797/2/?bust=1536291232&width=95&-fpm.jpg', '@id': '2'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42690797/2/?bust=1536291232&width=500&-x.jpg', '@id': '2'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42690797/2/?bust=1536291232&width=300&-pn.jpg', '@id': '2'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42690797/2/?bust=1536291232&width=50&-t.jpg', '@id': '2'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42690797/3/?bust=1536291240&width=60&-pnt.jpg', '@id': '3'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42690797/3/?bust=1536291240&width=95&-fpm.jpg', '@id': '3'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42690797/3/?bust=1536291240&width=500&-x.jpg', '@id': '3'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42690797/3/?bust=1536291240&width=300&-pn.jpg', '@id': '3'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42690797/3/?bust=1536291240&width=50&-t.jpg', '@id': '3'}]}",M,"Jackson is a 1 year old handsome boy who loves to play and be active! He has been raised with kids and a small dog so he is very tolerant. Jack is house trained and crate trained too. He is still very puppy like and will chew on things when he gets bored so lots of toys are a must. He weighs approximately 75 lbs. He is neutered, microchipped and current on vaccines, his adoption fee is $250.

If you are interested in adopting please submit an application at www.waggingtailsrescue.org.",2018-09-07T03:35:25+00:00,Dog,42690797,NV184,Labrador Retriever,Shepherd,hasShots,
Jughead,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42690816/1/?bust=1536291865&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42690816/1/?bust=1536291865&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42690816/1/?bust=1536291865&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42690816/1/?bust=1536291865&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42690816/1/?bust=1536291865&width=50&-t.jpg', '@id': '1'}, {'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42690816/2/?bust=1536291872&width=60&-pnt.jpg', '@id': '2'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42690816/2/?bust=1536291872&width=95&-fpm.jpg', '@id': '2'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42690816/2/?bust=1536291872&width=500&-x.jpg', '@id': '2'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42690816/2/?bust=1536291872&width=300&-pn.jpg', '@id': '2'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42690816/2/?bust=1536291872&width=50&-t.jpg', '@id': '2'}]}",M,"We received a call from the shelter who knows we have a weakness for Boxers - this handsome boy's time was up and he needed a place to go urgently. One look at his smooshed, slightly crooked face and we couldn't say no. Jughead is an 84 lb, 10 year old Boxer who is as easy as they come. He gets along with dogs of all sizes and is fine with cats too. He is friendly with people and enjoys getting his back scratched. Jug is neutered, microchipped and current on vaccines, his adoption fee is $100.

 If you are interested in adopting please submit an application at www.waggingtailsrescue.org.",2018-09-07T03:45:21+00:00,Dog,42690816,NV184,Boxer,,hasShots,
Lennon,"{'photo': [{'@size': 'pnt', '$t': 'http://photos.petfinder.com/photos/pets/42757181/1/?bust=1536944546&width=60&-pnt.jpg', '@id': '1'}, {'@size': 'fpm', '$t': 'http://photos.petfinder.com/photos/pets/42757181/1/?bust=1536944546&width=95&-fpm.jpg', '@id': '1'}, {'@size': 'x', '$t': 'http://photos.petfinder.com/photos/pets/42757181/1/?bust=1536944546&width=500&-x.jpg', '@id': '1'}, {'@size': 'pn', '$t': 'http://photos.petfinder.com/photos/pets/42757181/1/?bust=1536944546&width=300&-pn.jpg', '@id': '1'}, {'@size': 't', '$t': 'http://photos.petfinder.com/photos/pets/42757181/1/?bust=1536944546&width=50&-t.jpg', '@id': '1'}]}",M,"Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  
Lennon is a spunky little man who will steal your heart with his big smile! He has been with us since July 16th when he was just 1 day old so he is super friendly and well socialized. Mommy is a Jack Russel and Daddy is a mystery. We are expecting Lennon to be in the 20 lb range when fully grown. He is neutered, microchipped and current on vaccines, his adoption fee is $350.
If you are interested in adopting please submit an application at www.waggingtailsrescue.org.",2018-09-14T17:05:01+00:00,Dog,42757181,NV184,Jack Russell Terrier (Parson),Terrier,hasShots,
